"","ID","consent","segmentation.westinC.","segmentation.westinM.","segmentation.westinE.","sebisLikert.sebisF04.","sebisLikert.sebisF06.","sebisLikert.sebisF03.","sebisLikert.sebisF05.","sebisLikert.sebisF12.","sebisLikert.sebisF12.-inverted","sebisLikert.sebisF13.","sebisLikert.sebisF15.","sebisLikert.sebisF14.","sebisLikert.sebisF14.-inverted","sebisLikert.sebisF08.","sebisLikert.sebisF08.-inverted","sebisLikert.sebisCheck.","sebisLikert.sebisF11.","sebisLikert.sebisF11.-inverted","sebisLikert.sebisF16.","sebisLikert.sebisF16.-inverted","sebisLikert.sebisF10.","sebisLikert.sebisF07.","sebisLikert.sebisF07.-inverted","sebisLikert.sebisF01.","sebisLikert.sebisF02.","sebisLikert.sebisF09.","virusLikert.folkV01.","virusLikert.folkV02.","virusLikert.folkV03.","virusLikert.folkV04.","virusLikert.folkV05.","virusLikert.folkV06.","virusLikert.folkV07.","virusLikert.folkV08.","virusLikert.folkV09.","virusLikert.folkV10.","virusLikert.folkV11.","virusLikert.folkV12.","virusLikert.folkV13.","virusLikert.folkV14.","virusLikert.folkV15.","virusLikert.folkV16.","virusLikert.folkV17.","virusLikert.folkV18.","virusPrecautions.folkVP01.","virusPrecautions.folkVP02.","virusPrecautions.folkVP03.","virusPrecautions.folkVP04.","virusPrecautions.folkVP05.","virusPrecautions.folkVP06.","virusPrecautions.folkVP07.","virusPrecautions.folkVP08.","hackersLikert.folkH01.","hackersLikert.folkH02.","hackersLikert.folkH03.","hackersLikert.folkH04.","hackersLikert.folkH05.","hackersLikert.folkH06.","hackersLikert.folkH07.","hackersLikert.folkH08.","hackersLikert.folkHCheck.","hackersLikert.folkH09.","hackersLikert.folkH10.","hackersLikert.folkH11.","hackersLikert.folkH12.","hackersLikert.folkH13.","hackersLikert.folkH14.","hackersLikert.folkH15.","hackersLikert.folkH16.","hackerPrecautions.folkHP01.","hackerPrecautions.folkHP02.","hackerPrecautions.folkHP03.","hackerPrecautions.folkHP04.","hackerPrecautions.folkHP05.","hackerPrecautions.folkHP06.","hackerPrecautions.folkHP07.","hackerPrecautions.folkHP08.","hackerPrecautions.folkHP09.","hackerPrecautions.folkHP10.","cybok01","cybok02","cybok03","cybok04","cybok05","cybok06","cybok07","cybok08","cybok09","cybok10","cybok11","cybok12","cybok13","cybok14","cybok15","cybok16","cybok17","cybok18","cybok19","onlineActivities.email.","onlineActivities.sn.","onlineActivities.news.","onlineActivities.conf.","onlineActivities.im.","onlineActivities.stream.","onlineActivities.games.","onlineHours","general.folkG01.","general.folkG02.","general.folkG03.","general.folkG04.","general.folkG05.","general.folkG06.","general.folkG07.","general.folkG08.","edu","ITbg","cyberBg","highschool","undergrad","englishLevel","courses.cs.","courses.net.","courses.os.","courses.usec.","courses.se.","courses.prof.","courses.hci.","courses.crypto.","courses.sp.","courses.block.","courses.ethics.","courses.cyber.","courses.iot.","courses.st.","courses.arch.","courses.ds.","courses.none.","courseCurrent.sd.","courseCurrent.crypto.","courseCurrent.iot.","courseCurrent.sp.","courseCurrent.arch.","courseCurrent.usec.","courseCurrent.os.","courseCurrent.st.","courseCurrent.cs.","courseCurrent.none.","certificates","age","gender","courseConsent","researchConsent","interviewtime","westin","device","password","awareness","updating"
"28",28,"Agree",4,2,1,1,5,5,5,5,1,5,5,1,5,3,3,5,1,5,1,5,3,2,4,5,5,5,3,1,4,4,1,2,3,3,1,3,3,1,1,3,4,3,5,1,5,1,5,1,5,5,5,5,5,5,3,5,3,5,3,3,2,3,2,5,5,4,5,5,3,5,5,5,5,5,5,5,3,1,5,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,"Multiple Times a Day","Never","Multiple Times a Day","Never","Multiple Times a Day","Never","Never","8-10 hours",5,5,4,2,4,2,4,4,"UG4 student",1,"None","United Kingdom","","Native speaker",1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,"0",21,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1312.34,"Fundamentalist",4,4,4,5
"29",29,"Agree",4,1,3,5,5,4,5,4,2,2,2,4,2,3,3,5,3,3,1,5,4,3,3,2,2,2,3,2,2,3,3,3,2,3,2,2,3,2,3,3,2,4,4,2,2,3,4,2,2,5,5,4,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,5,3,2,3,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,"Multiple Times a Day","Multiple Times a Day","Daily","2-3 Times a Month","Multiple Times a Day","Daily","Once a Week","More than 10 hours",3,4,4,2,4,3,3,4,"UG4 student",0,"None","United Kingdom","","Native speaker",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",21,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",962.75,"Pragmatist",4.75,2,3.6,2
"30",30,"Agree",3,2,1,4,5,3,5,4,2,4,4,2,4,3,3,5,3,3,3,3,4,4,2,2,4,2,4,2,3,2,3,3,2,3,4,3,3,2,3,3,3,3,4,2,2,4,4,2,2,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,"Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Once a Week","Daily","Daily","2-3 Times a Month","2-4 hours",3,4,4,2,2,2,2,4,"MSc (Masters) student",1,"None","overseas","overseas","Native speaker",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",31,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1116.66,"Fundamentalist",4.25,3.5,3,2.66666666666667
"31",31,"Agree",3,1,2,5,5,4,3,5,1,4,5,1,5,3,3,5,2,4,4,2,3,1,5,4,4,1,4,1,2,2,2,4,2,4,1,3,3,1,3,3,2,5,5,1,1,3,5,1,1,5,4,4,4,3,3,4,3,4,4,4,2,3,3,4,4,3,4,4,2,1,4,1,4,5,3,2,4,1,5,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,"Daily","Daily","Daily","Once a Week","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","5-7 hours",4,4,4,2,3,4,4,4,"UG4 student",1,"None","United Kingdom","","Native speaker",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",23,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1168.09,"Fundamentalist",4.25,3.75,3.4,3
"32",32,"Agree",4,2,2,4,4,4,4,4,2,3,2,4,2,3,3,5,3,3,4,2,3,1,5,2,3,5,4,1,3,2,4,4,1,3,1,3,4,2,3,4,3,4,4,2,5,4,4,3,5,5,4,4,4,3,3,3,3,4,4,2,2,4,2,4,2,4,4,4,2,4,3,2,3,4,4,4,4,3,4,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,"Multiple Times a Day","Daily","2-3 Times a Week","Once a Week","Multiple Times a Day","Daily","Never","8-10 hours",4,4,2,3,2,4,2,3,"PhD student",1,"None","overseas","overseas","Intermediate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0",27,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1932.4,"Fundamentalist",4,2.25,3.2,3.33333333333333
"33",33,"Agree",4,3,2,5,5,5,5,5,1,3,4,4,2,2,4,5,3,3,4,2,2,2,4,2,4,3,4,2,3,4,3,4,1,4,2,4,3,1,2,3,2,5,4,2,4,5,4,4,3,5,4,2,3,3,2,2,4,3,4,3,2,3,4,4,3,4,4,3,2,3,4,3,5,4,5,4,3,5,4,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Daily","Once a Month or Less","Once a Week","2-4 hours",4,3,4,3,3,3,3,3,"MSc (Masters) student",0,"None","overseas","overseas","Intermediate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"0",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2260.02,"Pragmatist",5,2.5,3,3
"35",35,"Agree",4,1,2,1,5,3,5,4,2,3,3,3,3,4,2,5,4,2,3,3,1,3,3,3,3,2,5,2,4,4,4,3,3,5,2,4,4,2,3,4,3,5,4,2,2,3,4,2,3,4,4,4,4,3,4,3,4,3,4,3,2,3,3,3,3,4,4,4,3,2,2,2,4,4,3,4,4,2,3,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Daily","2-3 Times a Week","Never","5-7 hours",3,2,4,2,2,2,2,2,"MSc (Masters) student",0,"None","overseas","EU","Fluent",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",27,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",564.72,"Fundamentalist",3.5,2.75,2.2,2.66666666666667
"36",36,"Agree",3,3,3,5,5,4,5,4,2,4,3,4,2,4,2,5,3,3,3,3,4,4,2,3,4,2,4,1,4,4,4,4,2,4,2,4,4,2,4,4,3,4,5,2,1,4,4,1,1,5,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,3,3,4,4,4,4,4,2,3,2,4,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","5-7 hours",4,4,4,3,4,3,4,4,"UG4 student",1,"None","overseas","","Native speaker",1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"0",21,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",860.86,"Pragmatist",4.75,2.75,2.8,3
"38",38,"Agree",3,3,2,5,5,4,5,3,3,4,4,2,4,2,4,5,3,3,4,2,3,3,3,4,5,5,3,1,2,1,3,3,3,3,1,2,3,2,3,1,2,5,4,1,5,5,4,3,5,4,5,5,4,4,2,4,3,4,3,2,2,3,3,3,1,4,4,4,2,2,4,2,5,4,5,2,4,3,4,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","Daily","2-3 Times a Month","Daily","Daily","Once a Month or Less","8-10 hours",4,4,5,4,3,4,4,4,"UG3 student",1,"None","United Kingdom","","Native speaker",1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,"0",20,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",442.74,"Pragmatist",4.75,3.75,3,4.66666666666667
"39",39,"Agree",4,2,3,5,5,1,5,5,1,1,3,5,1,3,3,5,5,1,3,3,3,3,3,2,2,1,4,3,4,1,4,4,2,4,1,4,3,2,4,3,3,2,4,4,2,2,4,2,2,4,4,5,2,3,2,4,4,3,3,4,2,4,4,4,4,4,4,4,2,3,2,3,2,4,2,2,3,2,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Once a Month or Less","Once a Month or Less","Never","Never","5-7 hours",3,4,4,4,4,4,3,4,"MSc (Masters) student",0,"None","overseas","overseas","Intermediate",0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",23,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1063.82,"Pragmatist",4,1.5,2.6,1.66666666666667
"40",40,"Agree",4,1,2,5,5,5,5,3,3,5,5,1,5,2,4,5,3,3,2,4,4,1,5,4,5,4,4,1,2,1,4,4,1,1,1,1,2,1,2,1,2,5,2,2,5,5,5,5,5,5,5,5,4,4,3,4,2,3,2,2,2,2,4,4,2,4,4,4,4,4,4,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Multiple Times a Day","Daily","2-3 Times a Week","Once a Week","Multiple Times a Day","Multiple Times a Day","Once a Week","More than 10 hours",5,5,5,5,4,5,5,5,"UG4 student",1,"0-3 years","EU","","Fluent",1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"0",23,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",491.75,"Fundamentalist",5,4.5,4,4.33333333333333
"41",42,"Agree",4,1,2,5,5,5,5,4,2,3,3,3,3,2,4,5,2,4,4,2,3,3,3,3,3,1,3,1,2,2,2,2,2,2,2,2,3,2,3,1,1,2,4,2,1,5,4,1,1,5,1,1,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,4,1,2,5,4,1,5,1,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,"Multiple Times a Day","Multiple Times a Day","Daily","Daily","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","8-10 hours",4,5,5,5,4,4,5,5,"MSc (Masters) student",1,"0-3 years","overseas","overseas","Fluent",1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,"0",28,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2851.71,"Fundamentalist",5,2.75,3.2,2.33333333333333
"42",43,"Agree",2,2,3,5,5,5,5,5,1,3,4,5,1,1,5,5,5,1,5,1,5,5,1,1,3,4,5,1,3,3,3,3,1,5,1,2,4,1,1,3,3,5,4,1,4,5,5,3,3,5,5,5,4,3,4,4,4,3,2,3,2,3,4,5,2,4,4,5,1,3,3,2,3,5,5,3,4,3,5,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,"Daily","Multiple Times a Day","2-3 Times a Week","Daily","Once a Week","Once a Month or Less","Daily","5-7 hours",3,4,4,2,4,4,4,4,"UG5/MInf student",1,"None","United Kingdom","United Kingdom","Fluent",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"0",22,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",778.3,"Pragmatist",5,2.25,2.6,2.66666666666667
"43",44,"Agree",3,3,3,4,5,4,5,5,1,3,4,4,2,2,4,5,3,3,1,5,3,1,5,2,3,2,4,2,3,3,4,4,2,2,2,4,2,2,4,3,3,3,4,2,4,2,3,2,2,4,3,4,4,3,3,1,3,3,3,3,2,2,3,3,1,4,4,1,2,2,2,2,3,5,2,3,3,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Never","8-10 hours",3,5,4,1,4,3,3,3,"MSc (Masters) student",1,"None","EU","EU","Fluent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"0",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",492.06,"Pragmatist",4.5,2.5,4,2.33333333333333
"45",46,"Agree",3,1,3,5,5,3,5,5,1,5,5,2,4,3,3,5,2,4,1,5,3,2,4,4,3,3,4,2,4,2,3,4,2,2,1,3,4,1,3,1,4,5,4,1,1,4,5,1,1,5,3,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,2,4,5,5,5,5,3,4,1,5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,"Daily","Never","Once a Week","Never","Multiple Times a Day","Multiple Times a Day","Once a Month or Less","2-4 hours",5,5,5,4,4,4,4,4,"UG4 student",1,"None","United Kingdom","","Native speaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"0",21,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1774.09,"Pragmatist",4.5,3.75,3.8,3.33333333333333
"46",47,"Agree",4,1,1,5,5,2,5,4,2,5,5,2,4,3,3,5,3,3,3,3,2,3,3,4,5,5,3,1,1,1,4,4,1,2,2,3,4,2,5,5,2,5,5,1,5,5,5,4,5,5,5,4,1,1,2,4,4,1,1,1,2,1,2,4,4,3,2,2,1,4,4,4,5,4,5,5,4,5,5,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,"Daily","Once a Month or Less","Once a Week","Never","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","More than 10 hours",4,5,4,2,1,3,3,3,"MSc (Masters) student",0,"None","EU","EU","Fluent",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",30,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",925.36,"Fundamentalist",4.25,4,2.8,4.66666666666667
"47",48,"Agree",3,1,1,5,5,5,5,3,3,5,5,1,5,2,4,5,1,5,1,5,2,2,4,4,4,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,4,5,2,2,4,5,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,1,5,4,4,4,4,2,5,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","5-7 hours",3,4,4,4,4,4,4,4,"MSc (Masters) student",1,"0-3 years","overseas","overseas","Native speaker",1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"0",24,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",353.79,"Fundamentalist",5,4.5,4,3
"48",49,"Agree",3,2,3,5,5,5,5,4,2,5,1,5,1,2,4,5,5,1,2,4,5,3,3,3,2,2,3,2,3,4,3,4,2,3,1,3,4,2,3,3,3,5,2,1,2,2,4,1,2,4,3,5,3,3,3,3,3,3,2,2,2,2,4,3,3,3,5,2,2,1,2,1,3,5,2,2,4,2,4,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,"Daily","Multiple Times a Day","2-3 Times a Week","2-3 Times a Month","Multiple Times a Day","2-3 Times a Week","Never","5-7 hours",4,4,4,2,5,3,3,4,"MSc (Masters) student",1,"None","overseas","overseas","Fluent",0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,"0",23,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1401.4,"Pragmatist",5,2.25,3.4,2.33333333333333
"49",50,"Agree",3,3,3,5,5,5,5,3,3,5,5,1,5,5,1,5,4,2,3,3,2,3,3,5,5,1,4,2,4,4,4,4,2,3,2,4,4,1,4,1,4,4,4,2,1,3,4,1,1,4,5,4,4,4,4,5,4,4,4,4,2,3,3,4,4,4,3,4,2,5,5,5,4,4,5,2,4,1,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,"Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","Daily","Multiple Times a Day","Once a Week","2-3 Times a Month","8-10 hours",4,5,5,4,4,4,4,4,"UG5/MInf student",0,"None","United Kingdom","","Native speaker",1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",22,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",770.3,"Pragmatist",5,4.5,2.2,3.66666666666667
"50",51,"Agree",2,2,3,1,2,3,5,5,1,3,2,4,2,1,5,5,2,4,2,4,4,2,4,3,3,4,4,3,2,2,4,4,2,4,2,2,3,2,3,4,3,4,4,4,3,5,3,3,2,4,3,5,2,4,2,2,2,4,3,2,2,2,4,4,2,4,4,4,4,3,3,2,3,4,4,2,3,3,3,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,"Daily","Daily","Daily","2-3 Times a Week","Once a Month or Less","2-3 Times a Week","Once a Month or Less","5-7 hours",3,3,4,2,4,2,2,2,"MSc (Masters) student",0,"None","overseas","overseas","Moderate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",22,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",16467.6,"Pragmatist",2.75,2,4.2,3.33333333333333
"51",52,"Agree",3,3,2,4,5,3,5,5,1,4,2,3,3,3,3,5,4,2,3,3,3,4,2,3,4,2,3,1,2,3,2,3,3,2,3,2,4,1,3,3,2,3,5,1,2,5,4,1,2,4,5,4,4,3,2,4,4,3,2,4,2,3,2,4,4,4,3,4,2,2,4,2,3,4,5,2,3,1,4,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,"Multiple Times a Day","2-3 Times a Week","Daily","2-3 Times a Month","Multiple Times a Day","Daily","2-3 Times a Week","8-10 hours",4,4,5,4,2,2,4,4,"Other",1,"None","EU","United Kingdom","Fluent",1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"0",24,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1437.09,"Pragmatist",4.25,2.5,2.6,3
"52",53,"Agree",3,1,1,5,5,4,5,5,1,5,5,2,4,3,3,5,3,3,2,4,3,3,3,4,4,3,3,1,1,1,3,3,1,3,1,1,4,1,3,1,1,4,4,1,5,5,5,2,2,5,5,4,3,5,3,3,3,3,2,2,2,2,2,3,2,3,3,3,2,1,4,1,3,5,5,1,4,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","Daily","2-3 Times a Month","Multiple Times a Day","Daily","2-3 Times a Week","More than 10 hours",5,5,5,5,5,5,5,5,"UG3 student",1,"None","United Kingdom","","Native speaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"0",20,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2742.85,"Fundamentalist",4.75,3.75,3.2,3.66666666666667
"53",54,"Agree",4,3,1,5,5,4,5,2,4,5,4,4,2,3,3,5,4,2,5,1,3,5,1,5,3,2,5,4,3,1,3,4,1,5,1,5,4,1,3,1,3,5,5,2,5,3,5,5,4,5,2,3,5,3,2,5,3,3,4,4,2,5,3,5,3,5,4,5,1,1,2,1,3,5,2,2,2,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"2-3 Times a Week","Daily","Daily","Never","Daily","Never","Once a Month or Less","5-7 hours",2,4,4,2,3,2,2,4,"MSc (Masters) student",1,"None","overseas","overseas","Intermediate",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",23,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2166.38,"Pragmatist",4.75,3.75,2,3.33333333333333
"54",55,"Agree",3,2,2,5,5,4,2,3,3,4,5,1,5,3,3,5,2,4,3,3,3,4,2,2,5,4,3,3,3,3,1,3,1,3,2,3,2,2,3,3,1,5,3,2,5,5,4,5,4,5,4,4,3,1,2,2,2,3,2,1,2,1,2,3,2,3,3,3,1,3,4,3,4,4,4,4,4,4,4,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","Never","Multiple Times a Day","2-3 Times a Week","Never","5-7 hours",3,5,4,1,5,2,2,5,"UG4 student",0,"None","EU","","Fluent",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",22,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",872.83,"Fundamentalist",4,4.25,3,3.66666666666667
"55",56,"Agree",4,1,3,5,5,1,5,5,1,4,3,4,2,1,5,5,1,5,4,2,2,2,4,4,4,4,3,1,3,5,3,3,1,1,1,1,2,1,3,1,1,4,3,1,5,5,5,2,4,5,5,5,4,4,2,4,3,3,3,3,2,3,3,5,4,3,4,4,2,1,4,1,4,5,5,1,2,2,4,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,"Multiple Times a Day","Multiple Times a Day","Daily","Once a Week","Multiple Times a Day","Daily","2-3 Times a Week","8-10 hours",5,2,4,4,4,5,4,5,"UG5/MInf student",1,"None","EU","","Fluent",1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,"0",24,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",6857.12,"Pragmatist",4,2.5,3.6,4
"56",57,"Agree",2,2,1,5,5,5,5,4,2,4,4,2,4,1,5,5,3,3,2,4,2,3,3,3,3,4,4,2,3,2,4,3,2,4,4,2,3,2,3,2,3,4,4,2,5,5,4,5,4,5,5,5,2,4,4,4,4,3,3,3,2,3,4,1,3,4,4,4,3,3,3,2,3,5,4,3,5,4,5,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,"Once a Month or Less","Multiple Times a Day","Daily","Daily","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","2-4 hours",4,3,3,3,4,3,2,3,"MSc (Masters) student",1,"0-3 years","EU","EU","Native speaker",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Other",24,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",901.08,"Pragmatist",5,3.5,3.4,3.33333333333333
"57",58,"Agree",4,2,2,5,5,3,5,5,1,2,2,5,1,3,3,5,4,2,1,5,3,4,2,3,2,1,4,3,4,2,4,4,2,4,4,4,4,2,2,2,4,5,4,2,2,1,3,1,1,5,4,4,4,4,4,4,4,4,3,2,2,4,4,4,2,4,4,4,5,2,3,2,4,4,1,3,4,1,5,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,"Daily","Multiple Times a Day","Daily","Once a Month or Less","Multiple Times a Day","Daily","Once a Month or Less","More than 10 hours",2,2,4,3,5,3,3,4,"MSc (Masters) student",1,"None","overseas","overseas","Fluent",0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"0",25,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1033.23,"Fundamentalist",4.5,1.5,3,2
"59",60,"Agree",1,2,2,3,4,2,4,4,2,4,3,4,2,2,4,5,3,3,2,4,3,2,4,4,4,2,4,2,3,4,4,4,2,4,2,2,3,2,3,2,4,4,4,2,2,4,4,3,2,5,5,5,2,4,2,4,2,2,2,4,2,2,3,4,4,3,4,4,2,2,4,2,4,4,3,4,4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Multiple Times a Day","Daily","Daily","Once a Week","Multiple Times a Day","Daily","Never","2-4 hours",4,4,4,3,4,3,4,4,"MSc (Masters) student",0,"None","EU","United Kingdom","Native speaker",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",23,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",538.03,"Pragmatist",3.25,2.75,3.6,3.33333333333333
